node_id,lat,lon,hospital_name,hospital_capacity,hospital_specialties,hospital_emergency
295196784,42.6204674,-5.5751901,,0,,False
295203945,42.6193282,-5.5656787,,0,,False
295203995,42.6193434,-5.5656633,,0,,False
295205265,42.6056718,-5.5644825,,0,,False
295205273,42.6067058,-5.5668084,,0,,False
295205274,42.6060231,-5.5669808,,0,,False
295205276,42.6049336,-5.5659842,,0,,False
295205288,42.6051963,-5.5654515,,0,,False
295205848,42.6047686,-5.5663233,,0,,False
295205856,42.6056366,-5.5687619,,0,,False
295205865,42.6055694,-5.5709946,,0,,False
295205868,42.6062046,-5.5710825,,0,,False
295205869,42.6062564,-5.5698688,,0,,False
295205870,42.6062957,-5.5693049,,0,,False
295205871,42.6062313,-5.5686288,,0,,False
295205873,42.6060974,-5.5644659,,0,,False
295205875,42.6060939,-5.5645755,,0,,False
295205884,42.6058597,-5.5645454,,0,,False
295205887,42.6058704,-5.5644394,,0,,False
295205891,42.6070792,-5.5646123,,0,,False
295205892,42.6076809,-5.5660218,,0,,False
295205900,42.6034474,-5.5642716,,0,,False
295205909,42.6044613,-5.5657609,,0,,False
295205910,42.6047701,-5.564397,,0,,False
295206541,42.5908293,-5.5628521,,0,,False
295206547,42.5882019,-5.55674,,0,,False
295379581,42.5936894,-5.579757,,0,,False
295379583,42.5955979,-5.5811259,,0,,False
295379593,42.5944983,-5.5792381,,0,,False
295379594,42.5942436,-5.5801306,,0,,False
295379596,42.5939308,-5.5789444,,0,,False
295379608,42.5954818,-5.5815307,,0,,False
295379613,42.5975384,-5.5829899,,0,,False
295379618,42.598891,-5.5849099,,0,,False
295379619,42.5993277,-5.5856211,,0,,False
295384081,42.5850112,-5.58444,,0,,False
295384083,42.584977,-5.5840638,,0,,False
295384087,42.5852871,-5.5840048,,0,,False
295384089,42.5853083,-5.5843938,,0,,False
295384091,42.5853478,-5.5841368,,0,,False
295398183,42.60897,-5.564995,,0,,False
295398186,42.6090588,-5.565816,,0,,False
295398188,42.6092578,-5.5679805,,0,,False
295399923,42.6068572,-5.5512813,,0,,False
295399925,42.6118312,-5.5534776,,0,,False
295399930,42.6156056,-5.5569045,,0,,False
295399934,42.6116244,-5.5539448,,0,,False
295433496,42.5875655,-5.5609719,,0,,False
295433502,42.5875037,-5.5610157,,0,,False
295433509,42.5872122,-5.5607605,,0,,False
295433513,42.5872914,-5.5602146,,0,,False
295887277,42.6044588,-5.5801031,,0,,False
295887281,42.6046879,-5.5781333,,0,,False
295887286,42.6051112,-5.5785998,,0,,False
295887289,42.6046856,-5.5783669,,0,,False
295887291,42.604956,-5.5778457,,0,,False
295887292,42.6042967,-5.577298,,0,,False
295887295,42.6045634,-5.5771137,,0,,False
295887296,42.6032931,-5.5796477,,0,,False
295887298,42.6031532,-5.57816,,0,,False
295887300,42.603223,-5.5778729,,0,,False
295887306,42.6040889,-5.5771113,,0,,False
295887494,42.6020687,-5.5799776,,0,,False
295887796,42.613481,-5.5888786,,0,,False
295887797,42.6138854,-5.5877857,,0,,False
295887798,42.6131909,-5.5888246,,0,,False
295887799,42.6127441,-5.5901026,,0,,False
295887800,42.6128887,-5.5885048,,0,,False
