edge_id,origin_id,destination_id,key,street_name,highway_type,length_m,lanes,maxspeed_kmh,oneway,base_time_min,base_risk,surface_quality,has_coverage,origin_lat,origin_lon,destination_lat,destination_lon
1220,585350342,585350344,0,,trunk,7.83,3,30,True,0.0157,0.15,0.85,True,42.5866315,-5.5717767,42.5865679,-5.5718151
1221,585350344,6743153385,0,Avenida de Fernández Ladreda,trunk,284.84,2,50,True,0.3418,0.15,0.85,True,42.5865679,-5.5718151,42.5860811,-5.5751777
1222,585350344,1028861769,0,,trunk,25.91,3,30,True,0.0518,0.15,0.85,True,42.5865679,-5.5718151,42.586369,-5.5716823
1223,585350347,1028861777,0,,trunk,5.02,3,30,True,0.01,0.15,0.85,True,42.586362,-5.5714575,42.5863849,-5.5714047
1224,585350347,7101464966,0,Paseo del Parque,tertiary,56.75,1,30,True,0.1135,0.5,0.85,True,42.586362,-5.5714575,42.5861242,-5.5708951
1225,585350350,295182002,0,Calle la Corredera,primary,61.59,2,30,True,0.1232,0.3,0.85,True,42.5866855,-5.5714152,42.5872274,-5.5715183
1226,585350350,585350342,0,,trunk,34.26,3,30,True,0.0685,0.15,0.85,True,42.5866855,-5.5714152,42.5866315,-5.5717767
1227,585350351,585350350,0,,trunk,13.84,3,30,True,0.0277,0.15,0.85,True,42.5865891,-5.5713151,42.5866855,-5.5714152
1228,593264722,4887650104,0,Calle Caño Badillo,residential,48.5,1,30,False,0.097,0.6,0.85,True,42.5968809,-5.565667,42.5973169,-5.565684
1229,593264722,593276536,0,Calle de Daoíz y Velarde,residential,44.78,1,30,False,0.0896,0.6,0.85,True,42.5968809,-5.565667,42.5967933,-5.565133
1230,593264733,593264750,0,Calle Serradores,living_street,86.07,1,20,False,0.2582,0.7,0.85,True,42.5980495,-5.5658315,42.598817,-5.5659565
1231,593264733,600109376,0,Calle Panaderos,residential,74.81,1,30,True,0.1496,0.6,0.85,True,42.5980495,-5.5658315,42.5985477,-5.5652399
1232,593264750,593264733,0,Calle Serradores,living_street,86.07,1,20,False,0.2582,0.7,0.85,True,42.598817,-5.5659565,42.5980495,-5.5658315
1233,593276519,593320048,0,Calle Pendón de Baeza,secondary,120.24,2,30,False,0.2405,0.4,0.85,True,42.5925974,-5.561451,42.5917521,-5.562367
1234,593276519,593320067,0,Avenida de los Bordadores,residential,57.14,1,30,True,0.1143,0.6,0.85,True,42.5925974,-5.561451,42.5929276,-5.5619858
